X               ->    Y              	Std Lift            	Lift                	Confidence          	Interest            
302870006       ->    237602007      	1.0000000000000002  	95.93955942730814   	0.9789846299610485  	0.9687804489557896  
302870006       ->    80394007       	1.0000000000000002  	95.93955942730814   	0.46354879460995896 	0.45871711936174    
302870006       ->    1551000119108  	1.0000000000000002  	95.93955942730814   	0.1540293715127908  	0.15242388809768823 
422034002       ->    1551000119108  	1.0000000000000002  	356.40589558075874  	0.5722037543996872  	0.5705982709845846  
162573006       ->    424132000      	1.0000000000000002  	485.49237530798433  	0.8488379836185657  	0.8470895772031609  
254637007       ->    424132000      	1.0000000000000002  	571.7699788251903   	0.999686299113795   	0.9979378926983903  
302870006       ->    97331000119101 	1.0000000000000002  	95.93955942730814   	0.05646647015475313 	0.055877907204372516
127013003       ->    431856006      	1.0000000000000002  	210.65731457135428  	0.13620734491028344 	0.13556076235421394 
126906006       ->    314994000      	1.0000000000000002  	251.80075291842235  	0.16584927816536577 	0.16519062533671797 
90781000119102  ->    431856006      	1.0000000000000002  	1499.8228759514504  	0.9697593087842008  	0.9691127262281313  
127013003       ->    90781000119102 	1.0000000000000002  	210.65731457135428  	0.1404547949955214  	0.13978804959775862 
302870006       ->    1501000119109  	1.0000000000000002  	95.93955942730814   	0.039938414569954735	0.0395221273281917  
156073000       ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
429007001       ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
80394007        ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
431855005       ->    127013003      	1.0                 	210.65731457135425  	1.0                 	0.9952529538220175  
410429000       ->    429007001      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
368581000119106 ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
80394007        ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
428251008       ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
128613002       ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
127013003       ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
74400008        ->    428251008      	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
237602007       ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
80394007        ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
237602007       ->    80394007       	1.0                 	97.99904563478728   	0.4734995631426843  	0.46866788789446534 
703151001       ->    128613002      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
72892002        ->    156073000      	1.0                 	35.49656263693461   	0.175193534251911   	0.17025802722708094 
156073000       ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
431855005       ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
127013003       ->    431855005      	1.0                 	210.65731457135425  	0.933890028605276   	0.9294568095143294  
19169002        ->    156073000      	1.0                 	36.111221730214865  	0.17822718852467137 	0.1732916814998413  
72892002        ->    198992004      	1.0                 	35.49656263693461   	0.11070646087930279 	0.10758766703969559 
422034002       ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
713197008       ->    68496003       	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
35999006        ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
398254007       ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
35999006        ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
